description,name,privilege_id,code,app_id,effective_start_date,effective_end_date
"Allows enablement of incentive compensation reports for period, for participants.",Manage Incentive Compensation Calendar Period,300000139141204,CN_MANAGE_INCENTIVE_COMPENSATION_CALENDAR_PERIOD_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Secures the setup data import process.,Submit Import Setup Data Process,300000139141047,ASM_SUBMIT_IMPORT_SETUP_DATA_PROCESS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows creation of tax regimes for the taxes in each country and geographic region where a separate tax applies.,Create Tax Regime,300000139141071,ZX_CREATE_TAX_REGIME_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows management of person benefit balances.,Manage Person Benefits Balance,300000139141228,BEN_MANAGE_PERSON_BENEFITS_BALANCE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the closing of contracts and contract lines from outside the application..,Close Contract by Web Service,300000139141140,OKC_CLOSE_CONTRACT_VIA_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows access to award service for management of award information such as keywords, funding sources, and budget periods.",Manage Award Service,300000139141184,GMS_MANAGE_AWARD_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to import and export tax exception configuration data.,Manage Tax Exception Import and Export Services,300000139141205,ZX_TAX_EXCEPTION_IMPORT_EXPORT_SERV_PRIV_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows performing pick transactions, splitting pick transactions, and validating picked quantities using web services.",Perform Pick Transaction by Web Service,300000139140936,INV_PERFORM_PICK_TRANSACTION_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Manage Industries used by applications,Manage Application Reference Industry,300000139140937,FND_APP_MANAGE_REFERENCE_INDUSTRY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows creation of location of final discharge.,Create Location of Final Discharge,300000139140982,ZX_CREATE_LOCATION_DISCHARGE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Manage application tree structures,Manage Application Tree Structure,300000139141120,FND_APP_MANAGE_TREE_STRUCTURE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows configuration and management of enrollment action items.,Manage Benefit Enrollment Action Type,300000139141141,BEN_MANAGE_BENEFIT_ENROLLMENT_ACTION_TYPE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Restore Trading Community Organization Contact,300000139140894,HZ_RESTORE_TRADING_COMMUNITY_ORGANIZATION_CONTACT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
